Periodos,IPC
1969/01,44200
1969/02,61669
1969/03,46844
1969/04,68373
1970/01,55270
1970/02,82047
1970/03,73715
1970/04,79226
1971/01,73772
1971/02,72537
1971/03,80003
1971/04,79917
1972/01,69843
1972/02,94272
1972/03,71462
1972/04,85841
1973/01,82178
1973/02,107139
1973/03,120483
1973/04,132259
1974/01,162615
1974/02,149729
1974/03,187383
1974/04,207357
1975/01,268264
1975/02,273976
1975/03,238344
1975/04,250955
1976/01,290712
1976/02,321904
1976/03,302131
1976/04,403922
1977/01,381600
1977/02,377150
1977/03,333900
1977/04,449700
1978/01,322518
1978/02,573496
1978/03,446111
1978/04,680961
1979/01,471177
1979/02,774998
1979/03,777200
1979/04,865000
1980/01,799782
1980/02,1142200
1980/03,992900
1980/04,1022732
1981/01,898800
1981/02,1454900
1981/03,1466400
1981/04,1655900
1982/01,2129300
1982/02,1837300
1982/03,1740300
1982/04,2084400
